Strata,Year,N_Pre_Controle,N_Pre_Tratado,N_Post_Controle,N_Post_Tratado,DiD_Ext_Estimate,DiD_Ext_PValue,DiD_Int_Estimate,DiD_Int_PValue
Full Panel (Global),1997,98068,290,870,290,0.1358,3e-4,0.2225,0.0872
Full Panel (Global),2007,66235,605,1815,605,0.1358,3e-4,0.2225,0.0872
Full Panel (Global),2017,54207,417,1251,417,0.1358,3e-4,0.2225,0.0872
Full Panel (Global),2023,51157,317,951,317,0.1358,3e-4,0.2225,0.0872
S1_Male,1997,25811,89,267,89,0.1754,4e-4,0.3207,0.0876
S1_Male,2007,12658,127,381,127,0.1754,4e-4,0.3207,0.0876
S1_Male,2017,12031,111,333,111,0.1754,4e-4,0.3207,0.0876
S1_Male,2023,9226,70,210,70,0.1754,4e-4,0.3207,0.0876
S1_Female,1997,34839,102,306,102,0.1428,0.0705,0.2981,0.1489
S1_Female,2007,19867,210,630,210,0.1428,0.0705,0.2981,0.1489
S1_Female,2017,17585,141,423,141,0.1428,0.0705,0.2981,0.1489
S1_Female,2023,13655,111,333,111,0.1428,0.0705,0.2981,0.1489
S2_Male,1997,2793,7,21,7,0.2083,8e-4,0.5187,0.013
S2_Male,2007,7500,88,264,88,0.2083,8e-4,0.5187,0.013
S2_Male,2017,7251,72,216,72,0.2083,8e-4,0.5187,0.013
S2_Male,2023,7946,61,183,61,0.2083,8e-4,0.5187,0.013
S2_Female,1997,4548,19,57,19,0.0373,0.4939,-0.0798,0.6045
S2_Female,2007,9320,74,222,74,0.0373,0.4939,-0.0798,0.6045
S2_Female,2017,8296,68,204,68,0.0373,0.4939,-0.0798,0.6045
S2_Female,2023,9429,52,156,52,0.0373,0.4939,-0.0798,0.6045
S3_Male,1997,18368,52,156,52,0.2612,0.0149,0.1801,0.5762
S3_Male,2007,9728,63,189,63,0.2612,0.0149,0.1801,0.5762
S3_Male,2017,5262,19,57,19,0.2612,0.0149,0.1801,0.5762
S3_Male,2023,6134,17,51,17,0.2612,0.0149,0.1801,0.5762
S3_Female,1997,11709,21,63,21,-0.0153,0.9345,-0.3376,0.7045
S3_Female,2007,7162,43,129,43,-0.0153,0.9345,-0.3376,0.7045
S3_Female,2017,3782,6,18,6,-0.0153,0.9345,-0.3376,0.7045
S3_Female,2023,4742,6,18,6,-0.0153,0.9345,-0.3376,0.7045
